Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Lavoy,,5.8,5.8,3.4,1
Danilo Gallinari,93.5,6.1,5.6,3.9,1
Ersan İlyasova,93.1,6.4,5.8,3.8,1
Larry Siegfried,91.9,6.4,5.8,3.2,0.5
Billy Owens,90.8,5.7,5.6,3.2,2.2
Jamario Moon,89.7,5.7,4.9,2.9,1.1
Jack Kerris,88.4,5.9,5.7,4.1,2.1
Gordon Hayward,88.3,5.4,4.9,3.6,1.2
Rudy Gay,88.1,6.4,5,3.3,0.5
Khris Middleton,88.0,6.7,6.1,2.7,0.9
Marvin Williams,87.2,6.1,5.7,2.8,2.3
