Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bob Lavoy,,5.8,5.8,3.4,1,NA,NA,NA
Jack Kerris,88.4,5.9,5.7,4.1,2.1,NA,NA,NA
Jamario Moon,88.2,5.7,4.9,2.9,1.1,-0.3,NA,NA
Julius Randle,88.1,6.6,6.1,3.5,1.6,-0.1,NA,NA
Larry Nance,86.7,5.8,4.9,3.5,2.2,NA,NA,NA
Stan McKenzie,84.5,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Maurice Stokes,84.4,6,5.5,4.5,NA,NA,NA,NA
Randolph Mahaffey,81.9,5.7,4.7,3.7,2.6,NA,NA,NA
Leo Barnhorst,81.0,4.7,4.6,3.6,1.3,NA,NA,NA
Dino Rađa,80.4,5.9,4.5,4,-0.2,NA,NA,NA
Bones McKinney,80.1,7.1,4.9,3.3,0.2,0,-0.2,NA
