Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1950-51,24,INO,NBA,PF,63,NA,NA,0.388,0.215,NA,NA,NA,NA,NA,-0.6,1.6,1,NA
1951-52,25,INO,NBA,PF,63,1829,17.1,0.461,0.369,NA,NA,NA,NA,NA,2.9,2.9,5.8,0.152
1952-53,26,INO,NBA,PF,70,2327,14.8,0.464,0.432,NA,NA,NA,NA,NA,2.9,2.9,5.8,0.119
1953-54,27,TOT,NBA,PF,68,1277,12.5,0.441,0.362,NA,NA,NA,NA,NA,1,2.3,3.4,0.126
1953-54,27,MLH,NBA,PF,8,125,17.3,0.476,0.444,NA,NA,NA,NA,NA,0.2,0.1,0.4,0.151
1953-54,27,SYR,NBA,PF,60,1152,12,0.437,0.353,NA,NA,NA,NA,NA,0.8,2.2,3,0.124
Career,NA,,NBA,,264,5433,15,0.438,0.34,NA,NA,NA,NA,NA,6.2,9.7,15.9,0.132
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,INO,NBA,,196,4156,15.8,0.438,0.335,NA,NA,NA,NA,NA,5.2,7.3,12.5,0.134
1 season,NA,SYR,NBA,,60,1152,12,0.437,0.353,NA,NA,NA,NA,NA,0.8,2.2,3,0.124
1 season,NA,MLH,NBA,,8,125,17.3,0.476,0.444,NA,NA,NA,NA,NA,0.2,0.1,0.4,0.151
