Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Justin Holiday,,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA
Mark Acres,86.3,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA
Shellie McMillon,85.1,2.5,2.2,1.7,1.7,NA,NA,NA,NA
Willie Burton,84.1,2.6,2.1,2,1.6,0.5,0.2,0.1,-0.1
Noah Vonleh,82.2,3.2,1.8,1.6,1.2,0.5,NA,NA,NA
Mark Alarie,81.8,3.1,2.2,1.5,0.9,0.6,NA,NA,NA
Lamar Green,81.0,2.4,2,1.9,0.5,0.4,0.2,NA,NA
Richard Anderson,80.7,2.3,2.1,1.3,1,0.5,0.5,NA,NA
Shawne Williams,80.7,2.5,1.9,1.4,0.7,0.7,0,-0.4,NA
Joey Graham,80.3,3,2.2,1.3,1.1,0.3,0,NA,NA
Ronald Thomas,80.2,2.7,2,1.8,0.8,NA,NA,NA,NA
