Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Justin Holiday,,2.5,2.1,1.7,1.3,0.6,-0.1
Wesley Johnson,94.4,2.6,1.9,1.7,1.3,0.6,0
Tony Massenburg,91.5,2.8,2.2,1.7,1.3,0.4,-0.1
Steve Kuberski,90.7,2.6,1.7,1.7,1.2,0.6,0.2
Willie Burton,86.5,2.6,2.1,2,1.6,0.5,0.1
Mark Acres,86.3,2.5,2.2,1.9,1.6,0.9,0.3
McCoy McLemore,86.0,2.7,2.1,1.8,1.7,0.4,-0.3
Damien Wilkins,85.4,2.8,1.9,1.7,1,1,0
Shellie McMillon,85.1,2.5,2.2,1.7,1.7,NA,NA
Jarvis Hayes,84.8,2.9,2.1,1.7,1.5,0.7,0.5
Rasual Butler,83.9,2.6,1.7,1.7,1.6,1.2,0.1
