,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1985-86,18,PURDUE,32,856,119,216,,,82,132,,147,,,,,,320,.551,,.621,26.8,10.0,4.6,
1986-87,19,PURDUE,29,752,135,220,,,80,134,,159,,,,,,350,.614,,.597,25.9,12.1,5.5,
1987-88,20,PURDUE,33,903,169,295,,,132,195,,166,,,,,,470,.573,,.677,27.4,14.2,5.0,
1988-89,21,PURDUE,31,890,147,284,,,120,180,,176,,,,,,414,.518,,.667,28.7,13.4,5.7,
Career,,,125,3401,570,1015,,,414,641,,648,,,,,,1554,.562,,.646,27.2,12.4,5.2,
