Season,Team,Lg,Salary
1984-85,Milwaukee Bucks,NBA,"$150,000"
1985-86,Milwaukee Bucks,NBA,"$300,000"
1987-88,Seattle SuperSonics,NBA,"$835,000"
1988-89,Seattle SuperSonics,NBA,"$1,115,000"
1989-90,Golden State Warriors,NBA,"$1,200,000"
1990-91,Golden State Warriors,NBA,"$1,700,000"
1991-92,Golden State Warriors,NBA,"$1,333,000"
1992-93,Golden State Warriors,NBA,"$1,283,000"
1994-95,Milwaukee Bucks,NBA,"$150,000"
1995-96,Boston Celtics,NBA,"$300,000"
1996-97,Boston Celtics,NBA,"$500,000"
1997-98,Portland Trail Blazers,NBA,"$272,250"
Career,(may be incomplete),,"$9,138,250"
