Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Maurice Harkless,,4.2,3.4,3.2,2.9,2.8,2.4,0.3,NA,NA,NA
Willie Norwood,87.9,3.8,3.5,3.3,3,2.6,1.1,0.5,NA,NA,NA
Len Chappell,85.5,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
Ryan Gomes,85.5,4.8,4.2,3.1,2.5,2.5,2.4,0,-0.2,NA,NA
Andray Blatche,84.7,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA
Michael Kidd-Gilchrist,83.8,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA
Terry Catledge,83.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA
Dave Stallworth,83.6,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA,NA
Glen Gondrezick,82.8,3.6,3.1,3.1,2.7,2.5,0.9,NA,NA,NA,NA
Jackie Moreland,82.7,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,NA,NA
Stromile Swift,82.7,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA
