Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Maurice Harkless,,4.2,3.4,3.2,2.9,2.8,2.4,0.3
John Tresvant,92.2,4.1,3.8,3.5,3.3,2.7,2.6,0.1
Dwight Jones,90.0,3.9,3.8,3.1,2.9,2.7,2.6,1.3
Tom McMillen,89.6,3.9,3.7,2.9,2.9,2.5,2.2,0.8
Vladimir Radmanović,88.8,4.2,3.8,3.7,3.5,2.7,2.1,0.8
Willie Norwood,87.9,3.8,3.5,3.3,3,2.6,1.1,0.5
Stromile Swift,87.9,4.8,3.7,3.3,2.9,2.5,1.9,1
Pat Cummings,86.1,4.2,4,3.3,2.7,2.5,1.8,1.5
Al-Farouq Aminu,85.9,4,3.3,3.1,3.1,1.9,1.4,0.7
Ryan Gomes,85.5,4.8,4.2,3.1,2.5,2.5,2.4,-0.2
Jonas Jerebko,85.2,4.4,3.5,3.3,2.4,2.1,2,1.4
