Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Sonny Hertzberg,,4,2.5,2.3,1.4,0.7
Henry Bibby,91.5,4.1,2.9,2.3,1.5,1
Larry Hughes,91.5,3.7,2.4,2.4,1.7,0.6
Bill Hanzlik,91.4,4.1,2.4,2.2,1.9,1
Armond Hill,90.8,4.2,2.6,2.5,1,0.8
Jerryd Bayless,89.8,4,2.7,2,1.6,0.3
Trenton Hassell,89.0,4,2.7,2.3,1.5,-0.1
Eric Piatkowski,88.9,3.9,2.3,2.3,2,1.2
Dudley Bradley,88.8,3.9,3.1,2.4,1.4,1.1
Eddie Jordan,88.7,4.1,2.4,1.9,0.7,0.6
Mickaël Piétrus,88.6,3.6,2.8,2.1,1.5,0.6
