Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24,NYK,BAA,NA,5,NA,NA,15,69,0.217,6,8,0.75,NA,5,14,36
1948-49,26,WSC,BAA,NA,11,NA,NA,39,112,0.348,40,47,0.851,NA,27,33,118
1950-51,28,BOS,NBA,NA,2,NA,NA,3,13,0.231,4,5,0.8,2,3,8,10
Career,NA,,TOT,NA,18,NA,NA,57,194,0.294,50,60,0.833,2,35,55,164
,NA,,BAA,NA,16,NA,NA,54,181,0.298,46,55,0.836,NA,32,47,154
,NA,,NBA,NA,2,NA,NA,3,13,0.231,4,5,0.8,2,3,8,10
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,WSC,BAA,NA,11,NA,NA,39,112,0.348,40,47,0.851,NA,27,33,118
1 season,NA,NYK,BAA,NA,5,NA,NA,15,69,0.217,6,8,0.75,NA,5,14,36
1 season,NA,BOS,NBA,NA,2,NA,NA,3,13,0.231,4,5,0.8,2,3,8,10
