Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,24,NYK,BAA,NA,5,NA,NA,0.248,0.116,NA,NA,NA,NA,NA,-0.3,0,-0.2,NA
1948-49,26,WSC,BAA,NA,11,NA,NA,0.445,0.42,NA,NA,NA,NA,NA,0.8,0.5,1.3,NA
1950-51,28,BOS,NBA,NA,2,NA,NA,0.329,0.385,NA,NA,NA,NA,NA,-0.1,0,-0.1,NA
Career,NA,,TOT,NA,18,NA,NA,0.372,0.309,NA,NA,NA,NA,NA,0.4,0.6,1,NA
,NA,,BAA,NA,16,NA,NA,0.375,0.304,NA,NA,NA,NA,NA,0.5,0.5,1.1,NA
,NA,,NBA,NA,2,NA,NA,0.329,0.385,NA,NA,NA,NA,NA,-0.1,0,-0.1,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,WSC,BAA,NA,11,NA,NA,0.445,0.42,NA,NA,NA,NA,NA,0.8,0.5,1.3,NA
1 season,NA,NYK,BAA,NA,5,NA,NA,0.248,0.116,NA,NA,NA,NA,NA,-0.3,0,-0.2,NA
1 season,NA,BOS,NBA,NA,2,NA,NA,0.329,0.385,NA,NA,NA,NA,NA,-0.1,0,-0.1,NA
