,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,24,NYK,BAA,,6,,2,2,,,,14
1947-48,25,TOT,BAA,,4,,0,0,,,1,8
1947-48,25,WSC,BAA,,4,,0,0,,,1,8
1948-49,26,WSC,BAA,,7,,10,10,,,6,24
1950-51,28,BOS,NBA,,2,,3,4,,,5,5
Career,,,TOT,,7,,10,10,,,,24
,,,NBA,,2,,3,4,,,5,5
,,,BAA,,7,,10,10,,,,24
,,,,,,,,,,,,
2 Seasons,,WSC,BAA,,7,,10,10,,,6,24
1 Season,,NYK,BAA,,6,,2,2,,,,14
1 Season,,BOS,NBA,,2,,3,4,,,5,5
