Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24,NYK,BAA,NA,5,NA,NA,3,13.8,0.217,1.2,1.6,0.75,NA,1,2.8,7.2
1948-49,26,WSC,BAA,NA,11,NA,NA,3.5,10.2,0.348,3.6,4.3,0.851,NA,2.5,3,10.7
1950-51,28,BOS,NBA,NA,2,NA,NA,1.5,6.5,0.231,2,2.5,0.8,1,1.5,4,5
Career,NA,,TOT,NA,18,NA,NA,3.2,10.8,0.294,2.8,3.3,0.833,1,1.9,3.1,9.1
,NA,,BAA,NA,16,NA,NA,3.4,11.3,0.298,2.9,3.4,0.836,NA,2,2.9,9.6
,NA,,NBA,NA,2,NA,NA,1.5,6.5,0.231,2,2.5,0.8,1,1.5,4,5
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,WSC,BAA,NA,11,NA,NA,3.5,10.2,0.348,3.6,4.3,0.851,NA,2.5,3,10.7
1 season,NA,NYK,BAA,NA,5,NA,NA,3,13.8,0.217,1.2,1.6,0.75,NA,1,2.8,7.2
1 season,NA,BOS,NBA,NA,2,NA,NA,1.5,6.5,0.231,2,2.5,0.8,1,1.5,4,5
