Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Sonny Hertzberg,,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Kent Bazemore,92.0,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA,NA,NA
Jaren Jackson,86.9,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Lee Winfield,85.8,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA,NA,NA
Ron Lee,85.0,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA,NA,NA
Armond Hill,84.7,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA,NA,NA,NA
Eddie Robinson,84.5,4,3,2.2,0.8,0.2,NA,NA,NA,NA,NA,NA,NA
George Dempsey,83.9,3.5,2.2,2.1,1.5,1.4,NA,NA,NA,NA,NA,NA,NA
Matthew Dellavedova,83.5,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA,NA,NA
Bill Gabor,83.3,3.5,2.9,2.8,1.5,0.5,0,NA,NA,NA,NA,NA,NA
Larry Wright,83.2,3.5,2.7,1.8,1.4,1.2,0,NA,NA,NA,NA,NA,NA
