,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,24,NYK,BAA,,10,,9,,,,,23
1947-48,25,TOT,BAA,,6,,5,,,,,15
1947-48,25,NYK,BAA,,1,,2,,,,,3
1947-48,25,WSC,BAA,,6,,5,,,,,15
1948-49,26,WSC,BAA,,8,,7,11,,,,21
1949-50,27,BOS,NBA,,10,,11,11,,,,23
1950-51,28,BOS,NBA,,9,,13,13,,,,22
Career,,,TOT,,10,,13,,,,,23
,,,NBA,,10,,13,13,,,,23
,,,BAA,,10,,9,,,,,23
,,,,,,,,,,,,
2 Seasons,,BOS,NBA,,10,,13,13,,,,23
2 Seasons,,WSC,BAA,,8,,7,,,,,21
2 Seasons,,NYK,BAA,,10,,9,,,,,23
