Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,24,LAL,NBA,PF,75,NA,1455,5.9,13.1,0.453,1.5,2.6,0.575,NA,NA,8.2,1.9,NA,NA,3.4,13.3
1969-70,25,TOT,NBA,PF,65,NA,1279,3.1,8.4,0.369,1.5,2.6,0.574,NA,NA,10,1.8,NA,NA,3.7,7.7
1969-70,25,LAL,NBA,PF,20,NA,478,1.9,6.6,0.284,1.2,2.3,0.516,NA,NA,10.6,2.1,NA,NA,2.9,5
1969-70,25,DET,NBA,PF,45,NA,801,3.8,9.4,0.405,1.7,2.8,0.603,NA,NA,9.6,1.6,NA,NA,4.1,9.3
1970-71,26,DET,NBA,PF,62,NA,1725,4.2,9.1,0.467,1.4,2.5,0.575,NA,NA,9.5,2.6,NA,NA,3.9,9.9
1971-72,27,DET,NBA,PF,68,NA,1203,3.9,8.3,0.473,1.2,2.5,0.5,NA,NA,11.1,2.1,NA,NA,4,9.1
1972-73,28,BUF,NBA,PF,73,NA,1332,4.1,9.8,0.418,1.1,2,0.554,NA,NA,9.9,3,NA,NA,4.2,9.3
1974-75,30,CHI,NBA,PF,18,NA,467,4.3,9.9,0.434,1.1,1.8,0.609,2.3,6.6,8.9,1.9,0.7,0.8,3.5,9.7
Career,NA,,NBA,,361,NA,7461,4.3,9.8,0.439,1.4,2.4,0.561,2.3,6.6,9.6,2.3,0.7,0.8,3.8,9.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,175,NA,3729,4,8.9,0.454,1.4,2.6,0.558,NA,NA,10,2.2,NA,NA,4,9.5
2 seasons,NA,LAL,NBA,,95,NA,1933,4.9,11.5,0.429,1.4,2.6,0.562,NA,NA,8.8,1.9,NA,NA,3.3,11.3
1 season,NA,BUF,NBA,,73,NA,1332,4.1,9.8,0.418,1.1,2,0.554,NA,NA,9.9,3,NA,NA,4.2,9.3
1 season,NA,CHI,NBA,,18,NA,467,4.3,9.9,0.434,1.1,1.8,0.609,2.3,6.6,8.9,1.9,0.7,0.8,3.5,9.7
