Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,24,LAL,NBA,PF,75,NA,1455,239,528,0.453,61,106,0.575,NA,NA,332,76,NA,NA,139,539
1969-70,25,TOT,NBA,PF,65,NA,1279,110,298,0.369,54,94,0.574,NA,NA,354,64,NA,NA,130,274
1969-70,25,LAL,NBA,PF,20,NA,478,25,88,0.284,16,31,0.516,NA,NA,141,28,NA,NA,39,66
1969-70,25,DET,NBA,PF,45,NA,801,85,210,0.405,38,63,0.603,NA,NA,213,36,NA,NA,91,208
1970-71,26,DET,NBA,PF,62,NA,1725,203,435,0.467,69,120,0.575,NA,NA,454,124,NA,NA,189,475
1971-72,27,DET,NBA,PF,68,NA,1203,131,277,0.473,41,82,0.5,NA,NA,370,71,NA,NA,134,303
1972-73,28,BUF,NBA,PF,73,NA,1332,152,364,0.418,41,74,0.554,NA,NA,368,110,NA,NA,154,345
1974-75,30,CHI,NBA,PF,18,NA,467,56,129,0.434,14,23,0.609,30,86,116,24,9,10,46,126
Career,NA,,NBA,,361,NA,7461,891,2031,0.439,280,499,0.561,30,86,1994,469,9,10,792,2062
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,175,NA,3729,419,922,0.454,148,265,0.558,NA,NA,1037,231,NA,NA,414,986
2 seasons,NA,LAL,NBA,,95,NA,1933,264,616,0.429,77,137,0.562,NA,NA,473,104,NA,NA,178,605
1 season,NA,BUF,NBA,,73,NA,1332,152,364,0.418,41,74,0.554,NA,NA,368,110,NA,NA,154,345
1 season,NA,CHI,NBA,,18,NA,467,56,129,0.434,14,23,0.609,30,86,116,24,9,10,46,126
