Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bill Hewitt,,2.4,1.7,0.8,0.6,-0.1,-0.2
Kevin Séraphin,86.8,2.3,1.7,0.8,0.2,0.1,-0.2
Shawne Williams,84.3,2.5,1.4,0.7,0.7,0,-0.4
Stan Love,82.8,2.2,2.1,0.7,0.6,NA,NA
Ben Coleman,82.5,2,1.8,0.8,0.5,0,NA
Walter McCarty,82.4,2.9,1.8,0.7,0.5,0,-0.2
Darius Miller,82.3,3,1.6,0.8,0.5,-0.1,NA
James Hardy,82.2,2.5,1.8,1.3,0.7,NA,NA
Lou Amundson,80.3,2.9,1.8,1,0.6,0.1,0.1
Al Eberhard,78.9,2.6,1.8,0.9,0,NA,NA
Bob Bedell,78.1,2.4,2.2,0.8,0.1,NA,NA
