Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bill Hewitt,,2.4,1.7,0.8,0.6,-0.1,-0.2,NA
Stan Love,82.8,2.2,2.1,0.7,0.6,NA,NA,NA
Ben Coleman,82.5,2,1.8,0.8,0.5,0,NA,NA
Darius Miller,82.3,3,1.6,0.8,0.5,-0.1,NA,NA
James Hardy,82.2,2.5,1.8,1.3,0.7,NA,NA,NA
Kevin Séraphin,79.8,2.3,1.7,1,0.8,0.2,0.1,-0.2
Al Eberhard,78.9,2.6,1.8,0.9,0,NA,NA,NA
Bob Bedell,78.1,2.4,2.2,0.8,0.1,NA,NA,NA
Carey Scurry,77.7,2.6,1.8,0.9,NA,NA,NA,NA
Bob Brannum,77.3,2,1.6,1.1,0.8,0,NA,NA
Chuck Terry,77.1,2.3,2.1,1.2,0.7,0.1,NA,NA
