,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,24,LAL,NBA,,9,,5,6,,,,,,,,19
1969-70,25,TOT,NBA,,7,,4,7,,,,,,,,14
1969-70,25,LAL,NBA,,5,,4,7,,,,,,,,14
1969-70,25,DET,NBA,,7,,4,7,,,,,,,,14
1970-71,26,DET,NBA,,9,,7,9,,,,,,,,19
1971-72,27,DET,NBA,,7,,4,8,,,,,,,,16
1972-73,28,BUF,NBA,,8,,3,8,,,,,,,,17
1974-75,30,CHI,NBA,,8,14,4,6,,,15,5,,,6,17
Career,,,,,9,,7,9,,,,,,,,19
3 Seasons,,DET,NBA,,9,,7,9,,,,,,,,19
2 Seasons,,LAL,NBA,,9,,5,7,,,,,,,,19
1 Season,,BUF,NBA,,8,,3,8,,,,,,,,17
1 Season,,CHI,NBA,,8,14,4,6,,,15,5,,,6,17
