,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1988-89,21,ORALROB,28,936,214,564,83,251,103,157,,121,89,44,14,109,103,614,.379,.331,.656,33.4,21.9,4.3,3.2
1989-90,22,ORALROB,41,,417,976,170,443,252,328,,205,249,88,30,142,138,1256,.427,.384,.768,,30.6,5.0,6.1
1990-91,23,ORALROB,35,,393,858,185,463,229,280,,168,152,81,16,91,100,1200,.458,.400,.818,,34.3,4.8,4.3
Career,,,104,936,1024,2398,438,1157,584,765,,494,490,213,60,342,341,3070,.427,.379,.763,33.4,29.5,4.8,4.7
