Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Greg Sutton,,0.8,0.2,-0.1,NA
Andre McCarter,86.2,0.8,0.3,0,NA
Sam Jacobson,81.1,0.9,0.2,0,NA
Phil Pressey,77.9,0.8,0.1,-0.1,NA
Sergey Karasev,74.8,0.7,0.3,-0.1,NA
Connie Norman,72.7,0.8,0.2,0.2,NA
Glenn Hansen,72.6,0.8,0.4,-0.1,NA
Raymond Townsend,71.7,0.8,0.4,-0.2,NA
Willie Smith,70.0,1,0.3,0,0
Eddie Hughes,62.0,1,0.4,0,NA
Sundiata Gaines,61.3,1,0.5,-0.1,NA
