Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Kent Benson,,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0
Channing Frye,90.6,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3,2.1,0.9,0.8
Herb Williams,88.4,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.4,0.8
JaVale McGee,87.6,5.9,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1
Greg Ostertag,87.4,5.9,5,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7
Ervin Johnson,86.8,6.4,5.2,5.1,4.9,3.9,3,2.3,2.3,1.9,1.3,0.7
Tony Battie,86.3,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2,0.5
Wayne Cooper,86.1,5.1,5,4.1,3.5,2.9,2.9,2.8,2,1.5,1.2,1.2
Chris Andersen,85.2,5.9,5.4,4.5,3.2,2.7,2.4,1.9,1.3,1.1,0.3,0
Alton Lister,85.0,5.5,5.3,4.1,4.1,4,3.8,3.7,1.9,1.7,0.4,0.1
Leroy Ellis,84.9,6.4,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6
