Season,Team,Lg,Salary
2014-15,Dallas Mavericks,NBA,"$816,482"
2014-15,New Orleans Pelicans,NBA,"$633,974"
2015-16,Dallas Mavericks,NBA,"$315,760"
2016-17,Dallas Mavericks,NBA,"$315,760"
2017-18,Dallas Mavericks,NBA,"$315,760"
Career,(may be incomplete),,"$2,397,736"
