,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,MIL,NBA,,5,,,,,,3,4,,,,,,,,,10
1973-74,23,MIL,NBA,,2,5,,,,,0,0,,,2,2,,0,,2,4
1973-74,23,SAA,ABA,,6,,1,,,,3,4,,,,,,,,,12
1974-75,24,SAA,ABA,,8,,1,,,,3,4,,,,,,,,,17
1975-76,25,NYA,ABA,,8,,2,,,,2,5,,,,,,,,,17
1976-77,26,NYN,NBA,,9,,,,,,6,7,,,,,,,,,19
Career,,,TOT,,9,,,,,,6,7,,,,,,,,,19
,,,NBA,,9,,,,,,6,7,,,,,,,,,19
,,,ABA,,8,,2,,,,3,5,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,SAA,ABA,,8,,1,,,,3,4,,,,,,,,,17
2 Seasons,,"NYA,NYN",ABA,,9,,,,,,6,7,,,,,,,,,19
2 Seasons,,MIL,NBA,,5,,,,,,3,4,,,,,,,,,10
