,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,MIL,NBA,,2,2,,,,,0,0,,,2,1,,,,1,4
1973-74,23,SAA,ABA,,4,,0,,,,2,3,,,,,,,,,10
1974-75,24,SAA,ABA,,3,,0,,,,3,4,,,,,,,,,9
1975-76,25,NYA,ABA,,0,,0,,,,0,0,,,,,,,,,0
Career,,,TOT,,4,,,,,,3,4,,,,,,,,,10
,,,NBA,,2,2,,,,,0,0,,,2,1,,,,1,4
,,,ABA,,4,,0,,,,3,4,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,SAA,ABA,,4,,0,,,,3,4,,,,,,,,,10
1 Season,,MIL,NBA,,2,2,,,,,0,0,,,2,1,,,,1,4
1 Season,,NYA,ABA,,0,,0,,,,0,0,,,,,,,,,0
