Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chuck Terry,,2.3,2.1,1.2,0.7,0.1
Richard Anderson,91.5,2.3,2.1,1.3,0.5,0.5
James Hardy,88.5,2.5,1.8,1.3,0.7,NA
Stan Love,88.0,2.2,2.1,0.7,0.6,NA
Chucky Brown,86.5,2.2,2.2,1.6,0.3,0
Justin Holiday,86.5,2.5,1.7,1.3,0.6,-0.1
Wesley Johnson,83.7,1.9,1.7,1.3,0.6,0
George Lee,83.4,2.6,1.7,1.2,0.6,0.4
Kenny Williams,83.2,2.7,2.4,1.6,0.7,NA
Lamar Green,82.8,2.4,2,1.9,0.5,0.2
Brady Walker,82.8,2.8,1.9,1.2,1,NA
