Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Chuck Terry,,2.3,2.1,1.2,0.7,0.1,NA,NA,NA
James Hardy,88.5,2.5,1.8,1.3,0.7,NA,NA,NA,NA
Stan Love,88.0,2.2,2.1,0.7,0.6,NA,NA,NA,NA
Richard Anderson,83.5,2.3,2.1,1.3,1,0.5,0.5,NA,NA
Kenny Williams,83.2,2.7,2.4,1.6,0.7,NA,NA,NA,NA
Brady Walker,82.8,2.8,1.9,1.2,1,NA,NA,NA,NA
Bob Brannum,82.5,2,1.6,1.1,0.8,0,NA,NA,NA
Mark Strickland,81.4,2.8,2.2,1,0.6,0.5,0,0,0
Dorie Murrey,81.0,2.2,1.9,1.6,0.5,0.2,0.1,NA,NA
Kevin Séraphin,81.0,2.3,1.7,1,0.8,0.2,0.1,-0.2,NA
Bob Bedell,80.9,2.4,2.2,0.8,0.1,NA,NA,NA,NA
