,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,31,POR,NBA,SG,3,122,.471,13.6,.676,.324,.118,.029,.206,.324,.522,.727,.250,1.000,.286,.364,.417,.029,1,1.000,.182,1.000,0,0
2001-02,32,SAS,NBA,SG,10,298,.368,16.2,.563,.149,.172,.115,.126,.437,.449,.615,.333,.500,.364,.263,.182,.000,0,.900,.342,.385,1,0
2002-03,33,SAS,NBA,SG,9,66,.208,16.3,.500,.167,.083,.167,.083,.500,.250,.250,.000,.250,.500,.167,.667,.000,0,1.000,.583,.143,0,0
2003-04,34,NOH,NBA,SG,5,46,.462,17.1,.577,.115,.115,.231,.115,.423,.400,1.000,.000,.333,.333,.545,.333,.038,1,1.000,.182,.500,0,0
2004-05,35,MIA,NBA,SG,3,8,.000,17.5,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,.000,0,,,,0,0
Career,,,NBA,,30,540,.376,15.9,.584,.179,.139,.121,.145,.416,.426,.645,.250,.429,.320,.306,.302,.012,2,.955,.333,.375,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAS,NBA,,19,364,.333,16.2,.550,.153,.153,.126,.117,.450,.410,.529,.294,.429,.385,.240,.240,.000,0,.917,.400,.300,1,0
1 season,,NOH,NBA,,5,46,.462,17.1,.577,.115,.115,.231,.115,.423,.400,1.000,.000,.333,.333,.545,.333,.038,1,1.000,.182,.500,0,0
1 season,,MIA,NBA,,3,8,.000,17.5,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,.000,0,,,,0,0
1 season,,POR,NBA,,3,122,.471,13.6,.676,.324,.118,.029,.206,.324,.522,.727,.250,1.000,.286,.364,.417,.029,1,1.000,.182,1.000,0,0
