Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kelly Tripucka,,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2,1.7,NA,NA,NA,NA,NA
Bo Outlaw,89.5,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2,0
Dave Greenwood,88.0,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2,1.7,1.1,0.4,NA,NA,NA
Jamal Mashburn,87.6,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2,NA,NA,NA,NA
Ed Pinckney,87.3,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3,NA,NA,NA
Luis Scola,86.2,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8,NA,NA,NA,NA,NA
Bryon Russell,86.1,8.8,7.4,6.8,6,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0,NA,NA
Anderson Varejão,85.8,8.1,8,6.6,5.4,3.3,3,2.4,2.3,2.2,2.1,1.9,1,0.2,NA,NA
Ryan Anderson,85.4,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3,-0.2,NA,NA,NA,NA
Keith Van Horn,85.2,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,NA,NA,NA,NA,NA,NA
Vin Baker,84.8,10.4,8.3,6.2,5.8,4.4,3.5,2.8,2.2,1.8,1.6,0.4,0.1,-0.4,NA,NA
