Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Kelly Tripucka,,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2,1.7
Bo Outlaw,93.9,7.9,7.6,6.8,6.1,4.4,3.5,2.5,2.3,2.3,1.8
Metta World Peace,93.0,8,7.2,6.7,5.5,4.7,3.7,2.7,2.3,1.9,1.3
Cazzie Russell,90.1,7.3,7.1,5.9,5.2,5.2,4.1,3,2.2,2,1.8
Anderson Varejão,89.5,8.1,8,6.6,5.4,3.3,3,2.4,2.3,2.2,2.1
Dave Greenwood,88.9,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2,1.1
Scott Wedman,87.8,8.6,7.8,7.1,6,4.9,4.8,4.7,2.2,1.6,1.2
Robert Horry,87.3,6.9,6.6,5.9,5.7,4.9,4.2,3.6,2.9,2.6,1.7
Jamal Mashburn,87.0,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.2
Drew Gooden,86.9,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7
Luis Scola,86.2,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8
