Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Anderson Varejão,,8.1,8,6.6,5.4,3.3,3,2.4,2.3,2.2,2.1,1.9,1,0.2
Bo Outlaw,90.3,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,0.7,0.2
Drew Gooden,87.6,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,-0.1
Bryon Russell,86.9,8.8,7.4,6.8,6,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0
Kelly Tripucka,85.8,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2,1.7,NA,NA,NA
Scott Wedman,84.2,8.6,7.8,7.1,6,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1
Trevor Ariza,82.3,8,6.6,6.1,6,5.4,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
Ed Pinckney,82.3,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3,NA
Vin Baker,82.2,10.4,8.3,6.2,5.8,4.4,3.5,2.8,2.2,1.8,1.6,0.4,0.1,-0.4
Cazzie Russell,81.7,7.3,7.1,6.6,5.9,5.2,5.2,4.1,3,2.2,2,1.8,1.1,NA
Metta World Peace,81.0,8,7.2,6.7,5.5,5.3,4.7,4.4,3.7,2.7,2.6,2.3,1.9,1.3
