Season,Team,Lg,Salary
1999-00,Vancouver Grizzlies,NBA,"$301,875"
2000-01,Washington Wizards,NBA,"$423,500"
2001-02,Los Angeles Clippers,NBA,"$540,850"
2003-04,Atlanta Hawks,NBA,"$688,679"
Career,(may be incomplete),,"$1,954,904"
