Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Obinna Ekezie,,0.7,0.5,0.4,0.2
Hank McDowell,79.2,0.7,0.4,0.2,0.1
Jerrod Mustaf,78.6,0.8,0.5,0.4,0
Troy Williams,76.9,0.5,0.4,0.4,NA
Bill Curley,73.6,0.7,0.5,0.2,0
Michael Smith,73.2,0.7,0.3,0.3,NA
Cartier Martin,72.8,0.8,0.7,0.4,0.1
Maceo Baston,69.0,1.1,0.5,0.4,0.3
Greg Foster,68.5,0.6,0.5,0.2,0
Mark Hendrickson,68.5,0.9,0.8,0.3,0.1
Jamal Sampson,65.9,0.5,0.4,0.2,0
