Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,22,ANA,ABA,C,71,2266,13.1,0.491,0.001,0.492,NA,NA,11.4,4.7,13.2,16,NA,2.2,0.7,2.9,0.061
1968-69,23,TOT,ABA,C,58,804,11.2,0.519,0,0.813,NA,NA,13,3.2,17.9,15.7,NA,0.8,0.6,1.4,0.085
1968-69,23,DNR,ABA,C,23,225,9.8,0.518,0,1.186,NA,NA,11.8,1.1,19,18.4,NA,0.3,0.2,0.4,0.094
1968-69,23,DLC,ABA,C,24,423,12.8,0.529,0,0.673,NA,NA,13.7,4.9,17,15.8,NA,0.5,0.3,0.8,0.092
1968-69,23,HSM,ABA,C,11,156,8.6,0.483,0,0.613,NA,NA,12.8,1.7,18.6,11.2,NA,0,0.1,0.2,0.055
Career,NA,,ABA,,129,3070,12.6,0.498,0.001,0.563,NA,NA,11.8,4.3,14.3,15.9,NA,3,1.3,4.3,0.067
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,ANA,ABA,,71,2266,13.1,0.491,0.001,0.492,NA,NA,11.4,4.7,13.2,16,NA,2.2,0.7,2.9,0.061
1 season,NA,DLC,ABA,,24,423,12.8,0.529,0,0.673,NA,NA,13.7,4.9,17,15.8,NA,0.5,0.3,0.8,0.092
1 season,NA,DNR,ABA,,23,225,9.8,0.518,0,1.186,NA,NA,11.8,1.1,19,18.4,NA,0.3,0.2,0.4,0.094
1 season,NA,HSM,ABA,,11,156,8.6,0.483,0,0.613,NA,NA,12.8,1.7,18.6,11.2,NA,0,0.1,0.2,0.055
