Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1967-68,22,ANA,ABA,C,1,NA,7:00,1,2,0.5,0,0,NA,1,1,1,0,0,0,0,0,3
Career,NA,,ABA,,1,NA,7,1,2,0.5,0,0,NA,1,1,1,0,0,0,0,0,3
