,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,ANA,ABA,,10,,0,,,,11,14,,,,,,,24
1968-69,23,TOT,ABA,,6,,0,,,,9,13,,,,,,,21
1968-69,23,DNR,ABA,,4,,0,,,,9,13,,,,,,,12
1968-69,23,DLC,ABA,,6,,0,,,,9,13,,,,,,,21
1968-69,23,HSM,ABA,,5,,0,,,,3,4,,,,,,,10
Career,,,,,10,,0,,,,11,14,,,,,,,24
1 Season,,ANA,ABA,,10,,0,,,,11,14,,,,,,,24
1 Season,,DLC,ABA,,6,,0,,,,9,13,,,,,,,21
1 Season,,DNR,ABA,,4,,0,,,,9,13,,,,,,,12
1 Season,,HSM,ABA,,5,,0,,,,3,4,,,,,,,10
