,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2012-13,26,SAS,NBA,C,4,23,,,,52%,49%,+38.2,+31.5,0,1,2,0,0,1,0,0,1
2013-14,27,SAS,NBA,C,14,101,,,,2%,98%,+23.1,+14.3,2,2,10,2,3,0,0,0,2
2014-15,28,SAS,NBA,C,4,40,,,,25%,75%,-5.8,-7.5,0,1,1,1,2,0,2,1,2
2015-16,29,DET,NBA,C,4,44,,,,,100%,-35.8,-33.7,0,1,2,1,1,0,5,1,2
2017-18,31,BOS,NBA,C,19,389,,,,5%,95%,-2.5,-5.6,6,0,23,1,7,2,47,0,8
2018-19,32,BOS,NBA,C,9,115,,,,,100%,-16.8,-19.2,1,0,14,3,1,0,7,0,1
Career,,,NBA,,54,712,,,,6%,94%,-2.1,-5.6,9,5,52,8,14,3,61,2,16
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BOS,NBA,,28,504,,,,4%,96%,-5.8,-8.7,7,0,37,4,8,2,54,0,9
3 seasons,,SAS,NBA,,22,164,,,,15%,85%,+18.2,+11.4,2,4,13,3,5,1,2,1,5
1 season,,DET,NBA,,4,44,,,,,100%,-35.8,-33.7,0,1,2,1,1,0,5,1,2
