Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Aron Baynes,,4.1,3.9,3,3,2.4,0.6,0.1
Ira Harge,88.7,4,3.5,3.4,2.7,2.6,0,NA
Jim Davis,86.3,4.3,3.8,3.5,2.3,1.8,0.9,0.2
Spencer Hawes,85.4,4.5,4.5,2.9,2.4,2.1,0.8,0.6
Wayne Cooper,85.3,4.1,3.5,2.9,2.9,2.8,1.5,1.2
Zaza Pachulia,85.2,4.8,3.9,3.9,2.9,2.7,1.1,0.3
Alex Len,84.7,4.5,3.4,3.2,3,1.3,0.2,NA
Jason Collins,83.5,4.9,4.7,3.9,3,2,0.6,0.1
Nerlens Noel,82.8,4.3,4,4,3,1.3,NA,NA
John Henson,82.7,4.9,3.6,3.3,2.7,2.3,1.9,0.6
Rick Roberson,82.7,3.6,3.5,3.2,3,1,0.4,0
