,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2017-18,25,TOR,NBA,SF,14,53,.533,16.7,.400,.133,.200,.000,.067,.600,.833,1.000,.667,,1.000,.333,.600,.067,1,1.000,.556,.400,0,0
2018-19,26,GSW,NBA,SF,72,1003,.487,12.9,.571,.404,.091,.029,.047,.429,.586,.685,.320,.500,.308,.356,.717,.138,33,1.000,.508,.333,0,0
2019-20,27,CLE,NBA,SF,40,593,.427,12.2,.620,.363,.181,.041,.035,.380,.557,.694,.387,.571,.000,.215,.678,.070,10,1.000,.446,.276,0,0
Career,,,NBA,,126,1649,.466,12.8,.584,.380,.128,.033,.043,.416,.580,.691,.373,.533,.250,.307,.699,.111,44,1.000,.490,.319,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,GSW,NBA,,72,1003,.487,12.9,.571,.404,.091,.029,.047,.429,.586,.685,.320,.500,.308,.356,.717,.138,33,1.000,.508,.333,0,0
1 season,,CLE,NBA,,40,593,.427,12.2,.620,.363,.181,.041,.035,.380,.557,.694,.387,.571,.000,.215,.678,.070,10,1.000,.446,.276,0,0
1 season,,TOR,NBA,,14,53,.533,16.7,.400,.133,.200,.000,.067,.600,.833,1.000,.667,,1.000,.333,.600,.067,1,1.000,.556,.400,0,0
