Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
K.C. Jones,,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8,NA,NA,NA,NA,NA
Craig Ehlo,89.3,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0
Danny Green,89.1,7.8,5.9,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1,NA,NA,NA,NA
Brian Winters,88.8,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1,NA,NA,NA,NA,NA
Clem Haskins,88.5,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA,NA,NA,NA
Jrue Holiday,87.9,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2,NA,NA,NA,NA
D.J. Augustin,87.6,6.9,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5,NA,NA,NA
Kevin Porter,87.4,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA,NA,NA,NA
Eddie Johnson,85.7,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA,NA,NA
Jimmy Walker,84.4,6.2,6.2,6.1,5.5,5.2,5.1,4.8,3.6,0.4,NA,NA,NA,NA,NA
Austin Carr,83.7,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA,NA,NA,NA
