Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
K.C. Jones,,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8
Jameer Nelson,90.0,6.6,6,5.6,5,4.9,4,3.5,2.5,2.1
Devin Harris,89.4,7.5,6.5,5.6,4.2,4.2,3.7,3.3,2.7,2.7
Dick McGuire,88.8,6.6,6.3,5.3,5.3,4.7,4.5,4,2.1,1.3
Brian Winters,88.8,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1
Clem Haskins,88.5,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1
Kyle Korver,88.4,6.6,5.3,5.1,4.6,4.6,4.2,3.7,2.6,1
Kevin Porter,87.7,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5
J.J. Redick,87.7,6.7,6.5,5.2,4.5,4.5,3,2.3,1.7,0.5
Jalen Rose,87.0,7.3,7.3,5.7,3.8,3.6,3.3,2.9,2.1,1.8
Eddie Johnson,86.8,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5
