Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Pearl Washington,,0.7,0.7,0.5,NA,NA
Shawn Respert,88.8,0.8,0.7,0.5,0.1,NA
JaKarr Sampson,83.6,0.8,0.6,0.5,0.1,NA
Acie Law,82.3,0.7,0.6,0.4,-0.1,NA
Yakhouba Diawara,81.2,0.7,0.5,0.5,-0.1,NA
DeAndre Liggins,73.7,0.6,0.5,0.5,0,0
Zoran Planinić,73.5,0.8,0.7,0.1,NA,NA
Keith McLeod,73.4,0.8,0.6,0.3,0.2,NA
Kris Dunn,71.8,0.9,0.6,0.1,NA,NA
Mike D'Antoni,70.1,1,0.8,0.3,0,NA
Litterial Green,68.5,0.8,0.8,0.1,0,-0.1
