,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,BAL,NBA,,5,,,,,,3,4,,,,,,,11
1969-70,23,TOT,ABA,,13,,1,,,,6,13,,,,,,,32
1969-70,23,INA,ABA,,5,,0,,,,6,8,,,,,,,12
1969-70,23,PTP,ABA,,13,,1,,,,6,13,,,,,,,32
Career,,,TOT,,13,,,,,,6,13,,,,,,,32
,,,NBA,,5,,,,,,3,4,,,,,,,11
,,,ABA,,13,,1,,,,6,13,,,,,,,32
,,,,,,,,,,,,,,,,,,,
1 Season,,PTP,ABA,,13,,1,,,,6,13,,,,,,,32
1 Season,,BAL,NBA,,5,,,,,,3,4,,,,,,,11
1 Season,,INA,ABA,,5,,0,,,,6,8,,,,,,,12
