Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,BAL,NBA,PG,64,916,3.2,0.332,NA,0.244,NA,NA,NA,6.1,NA,NA,NA,-1.8,1.1,-0.7,-0.034
1969-70,23,TOT,ABA,PG,77,2091,7.9,0.429,0.037,0.397,NA,NA,7.1,8.1,15.3,16.7,NA,-1.6,1.4,-0.2,-0.004
1969-70,23,INA,ABA,PG,9,143,12,0.496,0.075,0.65,NA,NA,11.7,11.9,13.5,15.9,NA,0.1,0.2,0.3,0.084
1969-70,23,PTP,ABA,PG,68,1948,7.6,0.425,0.035,0.382,NA,NA,6.7,7.8,15.5,16.7,NA,-1.6,1.2,-0.4,-0.011
Career,NA,,TOT,,141,3007,6.4,0.405,0.028,0.357,NA,NA,7.1,7.5,15.3,16.7,NA,-3.3,2.5,-0.8,-0.013
,NA,,ABA,,77,2091,7.9,0.429,0.037,0.397,NA,NA,7.1,8.1,15.3,16.7,NA,-1.6,1.4,-0.2,-0.004
,NA,,NBA,,64,916,3.2,0.332,NA,0.244,NA,NA,NA,6.1,NA,NA,NA,-1.8,1.1,-0.7,-0.034
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PTP,ABA,,68,1948,7.6,0.425,0.035,0.382,NA,NA,6.7,7.8,15.5,16.7,NA,-1.6,1.2,-0.4,-0.011
1 season,NA,BAL,NBA,,64,916,3.2,0.332,NA,0.244,NA,NA,NA,6.1,NA,NA,NA,-1.8,1.1,-0.7,-0.034
1 season,NA,INA,ABA,,9,143,12,0.496,0.075,0.65,NA,NA,11.7,11.9,13.5,15.9,NA,0.1,0.2,0.3,0.084
