Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,BAL,NBA,PG,64,NA,916,76,246,0.309,NA,NA,NA,76,246,0.309,0.309,29,60,0.483,NA,NA,158,49,NA,155,181
1969-70,23,TOT,ABA,PG,77,NA,2091,272,695,0.391,5,26,0.192,267,669,0.399,0.395,152,276,0.551,140,207,347,132,148,215,701
1969-70,23,INA,ABA,PG,9,NA,143,17,40,0.425,0,3,0,17,37,0.459,0.425,17,26,0.654,13,24,37,13,8,30,51
1969-70,23,PTP,ABA,PG,68,NA,1948,255,655,0.389,5,23,0.217,250,632,0.396,0.393,135,250,0.54,127,183,310,119,140,185,650
Career,NA,,TOT,,141,NA,3007,348,941,0.37,5,26,0.192,343,915,0.375,0.372,181,336,0.539,140,207,505,181,148,370,882
,NA,,ABA,,77,NA,2091,272,695,0.391,5,26,0.192,267,669,0.399,0.395,152,276,0.551,140,207,347,132,148,215,701
,NA,,NBA,,64,NA,916,76,246,0.309,NA,NA,NA,76,246,0.309,0.309,29,60,0.483,NA,NA,158,49,NA,155,181
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PTP,ABA,,68,NA,1948,255,655,0.389,5,23,0.217,250,632,0.396,0.393,135,250,0.54,127,183,310,119,140,185,650
1 season,NA,BAL,NBA,,64,NA,916,76,246,0.309,NA,NA,NA,76,246,0.309,0.309,29,60,0.483,NA,NA,158,49,NA,155,181
1 season,NA,INA,ABA,,9,NA,143,17,40,0.425,0,3,0,17,37,0.459,0.425,17,26,0.654,13,24,37,13,8,30,51
