Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Carlos Arroyo,,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Jim Price,93.0,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA,NA,NA
Herm Gilliam,91.5,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA,NA
Keith Bogans,91.3,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0
Greg Buckner,90.3,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1,NA
Maurice Evans,90.2,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA,NA
Jerry Sichting,87.3,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA
Lionel Hollins,86.3,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,NA
Todd Day,85.7,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA,NA,NA
Tom Henderson,85.5,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,NA,NA
Marcus Thornton,84.9,4,3.8,3.5,3.2,2,1.7,1.2,0.5,NA,NA,NA
