Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Carlos Arroyo,,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3
Keith Bogans,93.3,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1,0
Jim Price,93.0,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA
Herm Gilliam,91.5,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA
Maurice Evans,90.2,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1
Greg Buckner,89.7,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.1
Anthony Peeler,88.0,4.1,3.7,3.2,2.7,2.5,2.4,1.1,0.8,0.6
Jerry Sichting,87.8,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2
Bill Hanzlik,87.2,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1,0.7
Scott Brooks,86.8,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,0.7
Lucious Harris,86.2,5.1,4.1,3.1,2.8,2.1,1.1,0.8,0.6,0.4
