Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Eddie Robinson,,4,3,2.2,0.8,0.2,NA,NA,NA,NA,NA,NA,NA
Jaren Jackson,87.2,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Ken Charles,86.5,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA,NA,NA,NA
Pep Saul,86.0,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
Al Smith,85.4,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA,NA,NA
Reggie Bullock,85.1,4.2,3.1,1.2,1,0.2,0.1,NA,NA,NA,NA,NA,NA
Sonny Hertzberg,84.5,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Roger Phegley,83.3,3.7,2.6,1.6,0.8,0,-0.1,NA,NA,NA,NA,NA,NA
Pablo Prigioni,82.9,3.4,3.2,2.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Butch van Breda Kolff,82.3,4.4,2.5,2.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA
Tyus Jones,82.2,3.6,3,1.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA
