Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Eddie Robinson,,4,3,2.2,0.8,0.2
Steve Blake,94.3,3.8,2.8,2.1,0.7,0.3
Marquis Daniels,89.6,4.2,3.2,2.5,0.9,0.6
Charlie Bell,89.4,4,3.3,2.2,1.3,-0.2
Jordan Farmar,89.3,3.9,2.8,1.9,0.9,0.8
Gerald Henderson,89.0,3.6,3.3,2.4,1,0.4
Anthony Peeler,88.1,3.7,2.7,2.4,0.8,0.6
Jerryd Bayless,87.7,4,2.7,2,1.6,0.3
Matt Carroll,87.0,4.6,3,2.6,0.7,0
Chico Vaughn,87.0,3.4,3.4,2.3,0.8,0.4
Ken Charles,86.5,3.3,3,2.3,0.6,0.6
