Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kelenna Azubuike,,4.1,3.4,1.2,0.7,-0.1
Martell Webster,91.9,4.4,3.5,1.3,0.9,0
Will Barton,91.0,4.3,3.3,1.3,0.6,-0.5
Wali Jones,88.3,4,4,1.3,0.8,0.3
Rick Mount,87.6,4.6,3.5,1.1,0.7,0.6
Pep Saul,87.5,4.2,2.8,1.5,0.6,NA
Freeman Williams,83.9,4.1,4,1.8,0.4,-0.2
Delon Wright,83.9,4.5,4.3,1.1,0.6,NA
Devean George,83.4,4.2,3.4,2.7,0.7,-0.3
Charlie Bell,83.1,4,3.3,2.2,1.3,-0.2
Marco Belinelli,82.7,3.4,2.9,1.2,0.5,0
