,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,23,GSW,NBA,SG,41,669,2%,86%,12%,,,-11.4,-13.1,15,12,24,2,38,8,63,5,17
2007-08,24,GSW,NBA,SG,81,1732,,48%,51%,1%,,-0.1,-3.6,19,19,81,10,58,9,182,14,44
2008-09,25,GSW,NBA,SF,74,2375,3%,31%,58%,8%,1%,-2.7,+3.0,26,27,88,21,110,17,272,31,57
2009-10,26,GSW,NBA,SF,9,231,,9%,79%,12%,,-8.6,-5.2,0,1,11,2,14,4,22,4,6
2011-12,28,DAL,NBA,SG,3,18,,21%,79%,,,-27.0,-28.4,2,1,0,1,0,0,0,0,0
Career,,,NBA,,208,5025,2%,43%,50%,5%,,-3.3,-1.9,62,60,204,36,220,38,539,54,124
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,GSW,NBA,,205,5007,2%,43%,50%,5%,,-3.3,-1.8,60,59,204,35,220,38,539,54,124
1 season,,DAL,NBA,,3,18,,21%,79%,,,-27.0,-28.4,2,1,0,1,0,0,0,0,0
