Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kelenna Azubuike,,4.1,3.4,1.2,0.7,-0.1,NA
Reggie Bullock,88.7,4.2,3.1,1.2,1,0.2,0.1
Rick Mount,87.6,4.6,3.5,1.1,0.7,0.6,NA
Delon Wright,83.9,4.5,4.3,1.1,0.6,NA,NA
Pep Saul,83.6,4.2,2.8,1.5,0.8,0.6,NA
Freeman Williams,82.6,4.1,4,1.8,0.4,-0.1,-0.2
Eddie Robinson,81.1,4,3,2.2,0.8,0.2,NA
George Karl,80.4,3.4,3.3,1.3,0,-0.2,NA
Al Smith,80.4,4.5,3.3,1.8,0.9,0.6,NA
Tyus Jones,79.9,3.6,3,1.5,0.3,NA,NA
Roger Phegley,79.2,3.7,2.6,1.6,0.8,0,-0.1
