,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2012-13,19,ARIZONA,34,606,63,154,32,79,18,22,37,122,18,16,33,19,44,176,.409,.405,.818,17.8,5.2,3.6,0.5
Career,,,34,606,63,154,32,79,18,22,37,122,18,16,33,19,44,176,.409,.405,.818,17.8,5.2,3.6,0.5
