Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Steve Colter,,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,NA,NA,NA
Fatty Taylor,92.0,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA
Rod Thorn,91.6,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA
Mike Dunleavy,87.8,3.4,3.1,3,2.6,1.4,1.4,1,0.2,0.1,0,-0.1
Clint Richardson,86.7,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA
Gerald Henderson,85.5,3.6,3.6,3.3,2.4,2,2,1,0.4,NA,NA,NA
Mike McGee,85.2,3.2,3,2.8,2.3,1.9,1.1,0.4,0.2,0.2,NA,NA
Tyronn Lue,84.4,3.7,3.7,2.7,2.5,2.1,2,1.2,0.8,0.4,0.3,0.2
Billy McKinney,84.3,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA,NA,NA
Carlos Arroyo,83.9,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Mickaël Piétrus,83.6,3.6,3.6,3,2.8,2.1,1.5,1.3,1.2,0.6,0,NA
