Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Steve Colter,,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3
Fatty Taylor,92.0,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4
Rod Thorn,91.6,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1
Mickaël Piétrus,88.2,3.6,3.6,3,2.8,2.1,1.5,1.3,0.6
Clint Richardson,86.7,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1
Jerryd Bayless,86.6,4,2.7,2.4,2.4,2.4,2,1.6,0.3
Gerald Henderson,85.5,3.6,3.6,3.3,2.4,2,2,1,0.4
Keith Bogans,85.4,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1
Mike McGee,84.9,3.2,3,2.8,2.3,1.9,1.1,0.2,0.2
Mike Dunleavy,84.6,3.4,3.1,3,2.6,1.4,1.4,0.2,0.1
Earl Watson,84.3,2.9,2.7,2.3,2.3,2,1.8,1.5,-0.2
