,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,25,TOT,BAA,,15,,9,,,,,33
1946-47,25,CLR,BAA,,15,,8,,,,,33
1946-47,25,TRH,BAA,,11,,9,,,,,27
1948-49,27,TOT,BAA,,11,,12,15,,,,26
1948-49,27,BLB,BAA,,3,,5,5,,,,8
1948-49,27,FTW,BAA,,9,,10,13,,,,22
1948-49,27,INJ,BAA,,11,,12,15,,,,26
1949-50,28,PHW,NBA,,11,,12,14,,,,27
1950-51,29,PHW,NBA,,5,,5,7,,,,12
Career,,,TOT,,15,,12,,,,,33
,,,NBA,,11,,12,14,,,,27
,,,BAA,,15,,12,,,,,33
,,,,,,,,,,,,
2 Seasons,,PHW,NBA,,11,,12,14,,,,27
1 Season,,TRH,BAA,,11,,9,,,,,27
1 Season,,FTW,BAA,,9,,10,13,,,,22
1 Season,,INJ,BAA,,11,,12,15,,,,26
1 Season,,CLR,BAA,,15,,8,,,,,33
1 Season,,BLB,BAA,,3,,5,5,,,,8
1 Season,,INO,NBA,,0,,0,0,,,,0
