Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Leo Mogus,,8,7.7,5,1.2,NA,NA
Clark Kellogg,84.6,7,6.8,6.1,0.9,0.1,NA
Bud Palmer,83.9,7.4,7.2,3.9,NA,NA,NA
Dwight Powell,81.2,7.5,6.6,4.6,3.1,0.6,NA
Montrezl Harrell,80.7,8.7,5.5,4.1,0.9,NA,NA
Marvin Barnes,79.2,8.6,7.6,2,1.3,1,0.1
Donald Sidle,79.2,9.7,5.9,5.6,1.9,NA,NA
Joe Ingles,78.0,7.6,6,5,2.3,2.2,NA
John Shumate,77.5,7.7,6.5,6.3,3.5,0.5,NA
Art Heyman,77.0,8.5,6.1,2.7,1.3,0.6,0
Johnny Norlander,76.1,9.7,5.8,4.2,0.6,0.2,NA
