Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Leo Mogus,,8,7.7,5,1.2
Glen Rice,89.8,7.9,6.3,4.4,1.4
Bob Kauffman,89.5,8,7.9,3.1,1.4
Reggie King,89.5,8.3,6.2,4.8,1.6
Dan Roundfield,88.6,8.7,6.9,3.9,1.3
Jack Marin,88.4,8.5,8.3,5.4,2.5
Jamaal Wilkes,88.3,8.3,7.3,5.1,3.3
Jim Brewer,88.0,7.9,5.8,4.4,1.3
Rasheed Wallace,87.5,7.6,6.4,5,2.3
Chris Webber,86.8,9.3,7.8,4,1.9
Kenyon Martin,86.4,7.1,6.7,4.9,2.1
