Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Daequan Cook,,2.2,1.6,1.6,0.1,-0.2,-0.4
Gary Brokaw,86.2,1.9,1.6,1.6,0.1,NA,NA
Caris LeVert,81.3,2.3,1.8,1.7,NA,NA,NA
David Wingate,78.1,2.4,1.9,1.4,0.2,0.1,-0.5
Tom Garrick,77.5,2.5,1.8,1.4,0.2,NA,NA
Dick Garrett,75.7,2.4,2.3,1.6,0.1,-0.2,NA
Jonathon Simmons,75.0,2,2,1.9,0.3,NA,NA
Kenny Higgs,74.5,2.2,1.5,1,NA,NA,NA
James Robinson,73.2,2.3,1.9,1.2,0.2,0.2,-0.1
Dave Wohl,72.8,2.1,1.7,1.4,1,0.2,0
Leon Wood,72.6,2.2,2,1.9,0.6,0.3,-0.2
