Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Larry Miller,,6.2,3.4,3.2,3,2.4,1.3,0
Anthony Morrow,90.4,5.7,3.5,3,3,2.4,1.7,0.7
Nate Robinson,89.6,5.9,3.2,3.2,2.8,2.2,1.5,1.1
Steve Blake,89.1,5.8,3.8,3.3,2.8,2.1,0.7,0.3
Evan Fournier,88.9,5.7,3.3,3.2,2.8,2.1,1.4,1
Šarūnas Marčiulionis,87.9,6.4,3.8,3,2.6,2.5,2.3,-0.5
Darwin Cook,87.5,6,3.9,3.6,3,2.7,1.6,1.2
Darrell Walker,86.9,6.3,3.8,3.7,2.8,2.3,2.1,0.8
Marco Belinelli,86.6,5.9,3.4,3,2.9,1.2,0.5,0
Johnny Egan,86.5,5.1,3.6,3.2,3.1,1.4,1.3,0
George Senesky,86.1,6.2,4.4,3.6,2.6,2.3,2,0.3
