,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,LAS,ABA,,19,,4,,,,14,18,,,,,,,,,47
1969-70,23,TOT,ABA,,14,,3,,,,12,15,,,,,,,,,36
1969-70,23,LAS,ABA,,11,,3,,,,12,15,,,,,,,,,28
1969-70,23,CAR,ABA,,14,,1,,,,11,14,,,,,,,,,36
1970-71,24,CAR,ABA,,16,,2,,,,10,13,,,,,,,,,38
1971-72,25,CAR,ABA,,25,,3,,,,17,23,,,,,,,,,67
1972-73,26,SDA,ABA,,12,,0,,,,13,15,,,,,,,,,37
1973-74,27,TOT,ABA,,10,,1,,,,9,13,,,,,,,,,28
1973-74,27,SDA,ABA,,2,,0,,,,4,5,,,,,,,,,6
1973-74,27,VIR,ABA,,10,,1,,,,9,13,,,,,,,,,28
1974-75,28,UTS,ABA,,2,,0,,,,3,3,,,,,,,,,7
Career,,,,,25,,4,,,,17,23,,,,,,,,,67
3 Seasons,,CAR,ABA,,25,,3,,,,17,23,,,,,,,,,67
3 Seasons,,"LAS,UTS",ABA,,19,,4,,,,14,18,,,,,,,,,47
2 Seasons,,SDA,ABA,,12,,0,,,,13,15,,,,,,,,,37
1 Season,,VIR,ABA,,10,,1,,,,9,13,,,,,,,,,28
