Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Larry Miller,,6.2,3.4,3.2,3,2.4,1.3,0,NA,NA,NA,NA
Evan Fournier,88.9,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA,NA,NA
Šarūnas Marčiulionis,87.9,6.4,3.8,3,2.6,2.5,2.3,-0.5,NA,NA,NA,NA
Chris Whitney,85.5,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3
Art Williams,85.4,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0,NA,NA,NA
Darwin Cook,84.6,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA,NA
George Senesky,84.4,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA,NA
O.J. Mayo,83.1,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,NA,NA,NA
Marcus Smart,82.6,5.3,3.2,2.9,2.9,1.9,NA,NA,NA,NA,NA,NA
Vincent Askew,82.4,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA,NA
Paul Walther,82.2,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA,NA
